"st_abb","st_code","ym","ppt","tavg"
"AL",1,202501,82.913,4.242
"AR",5,202501,111.958,2.001
"AZ",4,202501,2.442,4.371
"CA",6,202501,20.32,7.107
"CO",8,202501,19.83,-6.815
"CT",9,202501,33.364,-3.269
"DC",11,202501,37.836,0.04
"DE",10,202501,29.962,-1.35
"FL",12,202501,71.193,11.737
"GA",13,202501,68.443,4.966
"IA",19,202501,6.178,-7.588
"ID",16,202501,32.706,-5.657
"IL",17,202501,32.33,-5.222
"IN",18,202501,43.175,-5.345
"KS",20,202501,25.068,-3.899
"KY",21,202501,108.775,-2.279
"LA",22,202501,127.126,7.088
"MA",25,202501,40.685,-4.318
"MD",24,202501,39.067,-1.96
"ME",23,202501,45.99,-8.978
"MI",26,202501,32.747,-7.503
"MN",27,202501,7.25,-12.507
"MO",29,202501,53.544,-3.208
"MS",28,202501,117.512,4.536
"MT",30,202501,24.399,-7.317
"NC",37,202501,41.255,1.613
"ND",38,202501,5.966,-12.475
"NE",31,202501,7.171,-6.008
"NH",33,202501,35.892,-7.864
"NJ",34,202501,22.177,-2.333
"NM",35,202501,5.506,-0.904
"NV",32,202501,7.674,-0.599
"NY",36,202501,45.571,-6.732
"OH",39,202501,46.407,-5.599
"OK",40,202501,32.782,0.622
"OR",41,202501,62.637,0.279
"PA",42,202501,31.484,-5.599
"RI",44,202501,42.699,-2.749
"SC",45,202501,51.034,4.084
"SD",46,202501,5.192,-8.853
"TN",47,202501,87.024,0.038
"TX",48,202501,41.273,5.433
"UT",49,202501,8.222,-3.867
"VA",51,202501,51.806,-1.009
"VT",50,202501,31.351,-8.643
"WA",53,202501,48.187,-0.433
"WI",55,202501,5.398,-10.079
"WV",54,202501,69.473,-4.712
"WY",56,202501,21.592,-8.782
"AL",1,202502,118.533,11.167
"AR",5,202502,113.724,5.974
"AZ",4,202502,7.53,10.439
"CA",6,202502,141.668,8.678
"CO",8,202502,24.065,-1.573
"CT",9,202502,87.822,-2.063
"DC",11,202502,88.83,3.742
"DE",10,202502,98.311,2.792
"FL",12,202502,55.258,18.427
"GA",13,202502,91.765,12.038
"IA",19,202502,13.275,-6.659
"ID",16,202502,107.186,-3.639
"IL",17,202502,32.273,-1.85
"IN",18,202502,56.142,-1.162
"KS",20,202502,10.361,-1.98
"KY",21,202502,205.304,3.228
"LA",22,202502,137.517,12.714
"MA",25,202502,99.031,-3.266
"MD",24,202502,90.023,2.062
"ME",23,202502,68.056,-9.481
"MI",26,202502,37.097,-6.63
"MN",27,202502,13.373,-12.199
"MO",29,202502,32.496,-0.402
"MS",28,202502,128.681,10.634
"MT",30,202502,38.216,-11.078
"NC",37,202502,101.636,7.426
"ND",38,202502,7.911,-15.245
"NE",31,202502,10.988,-5.961
"NH",33,202502,90.849,-7.359
